Customer Name,SurveyID for external use (e.g. tech support),Club's Name,Social Media Source,Creation Date,Comment,Overall Score
Stephanie Taylor,402a2e96-decd-46fd-b4ec-c4feb8d7b498,Bellview Gym,Google,2023-06-23,Can get crowded during peak hours. Staff are very friendly and helpful.,5
Donald Lopez,9be7aa92-938c-4973-afc0-77adfe197fc0,Adamsfurt Gym,Google,2023-11-05,Great equipment and clean facilities. Classes are fun and motivating.,5
Gregory Humphrey,e503b9d3-fe00-4b9a-830d-399209558605,West Becky Gym,Google,2022-12-01,Can get crowded during peak hours. Staff are very friendly and helpful. Atmosphere is motivating and energetic. Locker rooms could be cleaner.,3
Gabriela Lewis,8993dbee-91bc-45a4-bbfb-e8c1d2b1e695,Susanview Gym,Google,2024-03-26,Great equipment and clean facilities. Locker rooms could be cleaner.,2
Jose Burton,8b5551ef-2bed-4689-a7b1-3f4a1d653a87,Lake Jerry Gym,Google,2023-08-06,Parking is limited but manageable. Great equipment and clean facilities. Easy to book classes online.,1
Melissa Doyle,ade55ab8-97e6-4f6d-aa12-e7f05298adeb,North Joseph Gym,Google,2023-07-31,Locker rooms could be cleaner. Atmosphere is motivating and energetic. Parking is limited but manageable.,5
Charles Pitts,cfabe4d2-2b02-4d76-a6c1-fa1d59e8e3dc,Heatherstad Gym,Google,2022-12-12,Some machines were broken during my visit. Can get crowded during peak hours. Classes are fun and motivating.,5
Stephen Wallace,1ed33ee0-b91a-489f-aa79-54c48ca334be,Powellview Gym,Google,2024-01-24,Great equipment and clean facilities. Atmosphere is motivating and energetic.,2
Mark Smith,dd1b4c94-af9b-437d-ae3b-1e0847dafdd2,West Jorgemouth Gym,Google,2023-06-23,Staff are very friendly and helpful. Good variety of machines and weights. Great equipment and clean facilities.,2
Michelle Bennett,da7464bd-1b98-42fe-a413-a8288ac04993,New Laura Gym,Google,2023-09-21,Good variety of machines and weights. Locker rooms could be cleaner. Can get crowded during peak hours. Atmosphere is motivating and energetic.,4
Brandi Lewis,a497268e-e7c7-4c2f-8c40-7611b95c75e6,New Deborahchester Gym,Google,2022-03-07,Can get crowded during peak hours. Good variety of machines and weights.,2
Mr. Shane Flynn,afb9c8d9-d11d-4542-8237-ea000ffacfab,East Patriciafort Gym,Google,2023-02-23,Great equipment and clean facilities. Classes are fun and motivating. Can get crowded during peak hours. Easy to book classes online.,1
